System,Start,End,Region,Characteristics,Governance Type,Belief System,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes
Natufian Communities,-12500,-9500,Levant,Semi-sedentary hunter-gatherers; seasonal aggregation/dispersal; evidence of feasting and prestige burial but no fixed hierarchy; high mobility,Seasonal Forager Band,Animist/Ancestor,0.15,0.05,0.3,0.95,0.9,0.95,0.1,0.05,high,none,1,2,dispersal/transition,TRUE,2,Key G&W case: demonstrates deliberate oscillation between hierarchical aggregation and egalitarian dispersal. Natufian feasts show P without institutionalisation.
Göbekli Tepe (ritual complex),-9600,-8000,Southeast Anatolia,Massive coordinated monumental construction predating agriculture; no evidence of permanent habitation; hunter-gatherer builders; no residential hierarchy,Ritual Assembly Complex,Proto-animist,0.2,0.05,0.4,0.9,0.85,0.8,0.1,0.05,high,none,2,2,abandonment,TRUE,2,Critical counter-case: proves large-scale coordination does not require agriculture or permanent hierarchy. Deliberately buried/decommissioned.
Pre-Pottery Neolithic A (PPNA),-9500,-8700,Levant/Anatolia,Early agricultural communities; communal storage; no evidence of differential wealth; skull plastering suggests ancestor veneration without hierarchy,Communal Agricultural Village,Ancestor veneration,0.2,0.1,0.25,0.75,0.8,0.7,0.25,0.05,medium,land,2,1,transition,FALSE,2,Transition point: agriculture begins but hierarchy has not yet emerged. Critical for testing whether agriculture alone drives lock-in.
Pre-Pottery Neolithic B (PPNB),-8700,-6500,Levant/Anatolia,Larger villages; long-distance obsidian trade; plastered skulls and ancestor cults; first evidence of unequal storage; possible ritual specialists,Proto-Chiefdom Village,Ancestor veneration,0.3,0.15,0.35,0.65,0.7,0.6,0.35,0.1,low,land/ancestor,2,2,fragmentation,FALSE,2,D begins to decline as ritual specialists gain authority. E still relatively high — villages split frequently. Schismogenesis visible in settlement patterns.
Çatalhöyük,-7500,-5700,Anatolia,~8000 inhabitants; no streets or public buildings; no palaces or temples; equal-sized dwellings; entry through roofs; evidence of shared ritual but no institutional authority,Egalitarian Urban Settlement,Goddess/Ancestor,0.05,0.05,0.2,0.7,0.9,0.75,0.3,0.05,low,community,3,1,abandonment,TRUE,3,G&W's primary example of large-scale egalitarian urbanism. Low S and A at significant scale directly challenges stadial model.
Ubaid Culture,-6500,-3800,Mesopotamia,Proto-urban settlements along rivers; temple as redistribution centre; first administrative tokens; population aggregation; early craft specialisation,Proto-Temple Redistribution,Polytheist/Temple,0.35,0.25,0.3,0.55,0.65,0.55,0.5,0.2,low,land/temple,3,3,transition,FALSE,2,The administrative transition: tokens are proto-writing used for surplus tracking. A begins rising. Temple as institution starts reducing R.
Early Uruk,-4000,-3100,Mesopotamia,First true city (Uruk ~40000 inhabitants); monumental temples; cylinder seals; proto-cuneiform for accounting; no evidence of royal burials or palace until late period,Early City-State,Polytheist,0.4,0.55,0.4,0.45,0.55,0.45,0.7,0.55,low,temple/debt,4,3,transition,TRUE,3,The L and I inflection point. Cuneiform emerges as administrative tool. G&W argue early Uruk may have been governed by temple councils rather than kings.
Late Uruk / Early Dynastic,-3100,-2700,Mesopotamia,Emergence of kingship; palace distinct from temple; royal burials (Ur); military expansion; writing shifts from accounting to royal propaganda,Early State / Kingship,Polytheist,0.75,0.7,0.55,0.25,0.3,0.3,0.85,0.75,none,debt/land/coercion,4,4,conquest,TRUE,3,The lock-in transition. S surges. E and D drop sharply. The pair Early/Late Uruk is the best documented instance of the freedom-suppression sequence.
Egyptian Old Kingdom,-2686,-2181,Egypt,Centralised divine monarchy; pyramid construction as sovereignty display; no standing army initially; nome governors as proto-bureaucracy; limited literacy,Divine Monarchy,Egyptian polytheism,0.9,0.45,0.2,0.15,0.1,0.1,0.75,0.4,none,land/coercion,4,4,fragmentation/FIP,FALSE,3,High-S anchor case. First Intermediate Period collapse restores local E and D — nome governors become autonomous. Classic Tainter dynamic.
Egyptian Middle Kingdom,-2055,-1650,Egypt,Reunification after First Intermediate Period; increased bureaucratic complexity; professional army; literary tradition; more constrained pharaonic power,Bureaucratic Monarchy,Egyptian polytheism,0.7,0.65,0.25,0.2,0.2,0.15,0.8,0.6,none,land/debt,4,4,invasion/transition,FALSE,3,Post-collapse restoration shows A increasing relative to S — the bureaucratic class gained ground during the fragmentation period.
