Column Name,Description,Example Values
System,"Name or identifier of the governance system","Neanderthal Megafauna Councils, Denisovan Cave Networks"
Legitimacy,"Basis of authority and justification for rule","Gerontocratic authority, Ancestral cave rights, Divine right"
Decision-making,"Process for collective decision-making","Gerontocratic Warlordism, Mobile Band Democracy, Direct Democracy"
Resource allocation,"Distribution method for land/labor/wealth","Seasonal hunting quotas, Foraging territories, Market systems"
Defense,"Protection and enforcement structures","Spear/hide armor, Obsidian tools, Standing armies"
Information,"Communication and record-keeping tools","Bone tally sticks, Ritual cave markings, Written records"
Social integration,"Mechanisms for social cohesion","Kinship networks, Feasting cycles, Caste systems"
Succession,"Power transition process","Last survivor, Charismatic selection, Hereditary"
Adaptability,"Response capacity to crises/changes","Collapse/Rebirth, Syncretism, Reform"
Long-Term Stewardship,"Intergenerational impact consideration","Taboo-protected hunting grounds, Sacred site curation"
Transboundary Coordination,"Management of shared cross-boundary resources","Inter-clan gift exchanges, Trade networks"
Existential Risk Mitigation,"Approach to civilization-level threats","None (localized threats), Drought adaptation"
Epistemic Governance,"Methods for maintaining knowledge integrity","Oral mnemonics, Astronomical records"
