System,Legitimacy,Decision-making,Resource allocation,Defense,Military Technology,Information,Social integration,Succession,Adaptability,Long-Term Stewardship,Transboundary Coordination,Existential Risk Mitigation,Epistemic Governance
Neanderthal Megafauna Councils,Gerontocratic authority,Gerontocratic Warlordism,Seasonal hunting quotas,Temporary war parties,Spear/hide armor,Bone tally sticks,Kinship networks,Last survivor,Collapse/Rebirth: Rigid traditions limiting response to climate shifts,Taboo-protected hunting grounds,Inter-clan gift exchanges,None (localized threats),Oral mnemonics
Denisovan Cave Networks,Ancestral cave rights,Mobile Band Democracy,Foraging territories,Temporary war parties,Obsidian tools,Ritual cave markings,Kinship alliances,Charismatic selection,Syncretism: Mobile flexibility blending multiple band strategies,Sacred cave preservation,Seasonal migration pacts,None (localized threats),Topographic memory
Natufian Grain Storage Pacts,Harvest rituals,Proto-Agricultural Council,Seed banks,Tribal militias,Sling militias,Stone tally marks,Feasting cycles,Rotation,Reform: Early agrarian adaptation through storage protocols,Granary protection,Wild grain exchanges,None (localized threats),Lunar calendars
Jomon Shellfish Consensus,Tidal zone rights,Ecological Democracy,Shellfish beds,Tribal militias,Shell midden fortifications,Shell layer tallies,Potlatch feasts,Rotation,Crisis-Specific Innovation: Sustainable coastal management via midden tallies,Shell mound rituals,Maritime trade,Low (sustainable practices),Tidal markers
Clovis Megafauna Quotas,Hunting prowess,Paleolithic Craft Guild,Big game quotas,Temporary war parties,Fluted points,Stone tool exchanges,Kin-based hunting bands,Merit-based,Collapse/Rebirth: Overhunting leading to ecological collapse,Migration route preservation,Flint trade,None (overhunting risk),Animal tracking
San Xaro Networks,Reciprocal obligation,Gift Exchange Democracy,Waterhole access,Tribal militias,Poison arrows,Ritual hxaro gifts,Marriage alliances,Consensus,Syncretism: Desert-adaptive gift economies,Sacred water sites,Trans-Kalahari networks,Medium (drought adaptation),Rain dances
Ainu Bear Ritual Governance,Bear ceremonialism,Animist Ritual Autocracy,Salmon runs,Permanent warrior class,Bear-tooth armor,Bear skull oracles,Seasonal festivals,Charismatic,Syncretism: Ritualized ecology blending spiritual/resource management,Bear sentience beliefs,Coastal trade,Low (local taboos),Dream interpretation
Indigenous IPLCs,Dreamtime law,Biocultural Stewardship,Fire-stick farming,Tribal militias,Boomerangs,Dreamtime law,Songline kinship,Consensus,Reform: Millennia-tested adaptive practices,Sacred site curation,Inter-nation corroborees,High (long-term stewardship),Ecological lore
Yolngu Aboriginal Kinship,Songline authority,Kinship Network,Waterhole rights,Tribal militias,Didgeridoo signals,Song cycles,Moieties system,Oral tradition,Crisis-Specific Innovation: Drought-resilient songline navigation,Clan totem protection,Macassan trade,Medium (climate adaptation),Astronomical chants
Fuegian Canoe Councils,Maritime kinship,Nautical Band Democracy,Kelp beds,Temporary war parties,Harpoon raids,Tide calendars,Initiation rites,Consensus,Syncretism: Cold-adapted maritime decision cycles,Taboo fishing zones,Canoe relay networks,<contentious>,Wave navigation
Aboriginal Tjurunga Councils,Sacred object custody,Sacred Law Network,Bush tucker routes,Tribal militias,Nulla nulla,Songline navigation,Skin groups,Elder consensus,Reform: Fire ecology mastery through sacred law,Songline preservation,Pituri trade,<contentious>,Ceremonial art
Cucuteni-Trypillia Mega-Settlements,Household federations,Communal Proto-Democracy,Grain stores,Settlement militias,Palissade walls,Seasonal assembly votes,Ceremonial burnings,Consensus,Reform: Burn-rotate agricultural proto-cities,Clay figurine rituals,Danube trade,<contentious>,Goddess cults
Nubian Qustul Sacral Kingship,Divine cattle cult,Proto-Theocracy,Irrigation canals,Standing army,Archer militias,Ritual iconography,Cattle kinship,Unknown,Collapse/Rebirth: Nile-dependent divine kingship,Sacred cattle herds,Kerma trade,<contentious>,Stellar alignments
Sumerian Temple States,Ziggurat theocracy,Temple Communism,Barley rations,Standing army,Mudbrick walls,Cuneiform tablets,Patron deities,Appointment,Reform: Early bureaucratic redistribution,Sacred granaries,Mesopotamian trade,<contentious>,Astrological records
Indus Priest-Kings,Bath purification,Urban Theocracy,Cotton distribution,Standing army,Copper weapons,Seal-stamp bureaucracy,Great Bath rituals,Unknown,Syncretism: Planned cities with standardized weights,Wastewater systems,Meluhha trade,<contentious>,Yoga postures
Egyptian Nomarchies,Pharaonic decree,Precinct Feudalism,Nile flood basins,Standing army,Nubian mercenaries,Hieroglyph decrees,Nome festivals,Hereditary,Reform: Flood-adaptive regional governance,Nilometer records,Sinai expeditions,<contentious>,Medical papyri
Xia Dynasty Hydraulic Rule,Yellow River cult,Hydraulic Despotism,Millet stores,Standing army,Bronze halberds,Bronze vessel edicts,Dragon mythology,Hereditary,Crisis-Specific Innovation: Silt management bureaucracy,Dike maintenance,Jade trade,<contentious>,Oracle bones
Minoan Thalassocracy,Bull-leaping cult,Maritime Theocracy,Olive oil stores,Naval forces,Double-axes,Linear A tablets,Labyrinth rituals,Dynastic,Syncretism: Tsunami-resistant maritime network,Sacred groves,Aegean trade,<contentious>,Dolphin frescoes
Poverty Point Earthwork League,Astronomical alignments,Geometric Confederacy,Shell trade,Tribal militias,Earthwork bastions,Earthwork alignments,Moundbuilder clans,Consensus,Syncretism: Geometric trade hub organization,Solstice markers,Mississippi trade,<contentious>,Bird effigies
Hittite Panku Council,Storm god oracle,Constitutional Oligarchy,Iron distribution,Standing army,Chariot armies,Cuneiform law codes,Sun festivals,Elective,Reform: Constitutional checks on kingship,Grain silos,Anatolian trade,<contentious>,Lion gate symbology
Hittite Sun Priest-Kings,Solar deity cult,Theocratic Monarchy,Silver mines,Standing army,Hittite triple walls,Cuneiform tablets,Luwian syncretism,Hereditary,Collapse/Rebirth: Bronze Age collapse vulnerability,Sacred springs,Kizzuwatna treaties,<contentious>,Hurrian hymns
Mycenaean Wanax System,Wanax divine rule,Military Monarchy,Olive/wine stores,Standing army,Cyclopean walls,Linear B tablets,Megaron cults,Dynastic,Collapse/Rebirth: Sea Peoples invasion collapse,Beehive tombs,Amber trade,<contentious>,Nestor's Cup
Shang Dynasty Oracle Kings,Dragon bone divination,Theocratic Monarchy,Bronze workshops,Standing army,Chariot units,Oracle bone scripts,Ancestor worship,Hereditary,Syncretism: Divination-based dynastic cycles,Sacred forests,Silk routes,<contentious>,Turtle plastrons
Vedic Sabha Assemblies,Fire sacrifice,Tribal Democracy,Cattle herds,Tribal militias,Rigvedic hymns,Fire rituals,Varna system,Election,Reform: Pastoral resilience through fire rituals,Sacred cows,Indus trade,<contentious>,Sanskrit meters
Lapita Voyaging Networks,Star navigation,Maritime Segmentary Democracy,Taro pits,Naval war parties,Outrigger canoes,Pottery designs,Clan tattoos,Charismatic,Syncretism: Oceanic expansion via pottery trade routes,Taboo reefs,Obsidian trade,<contentious>,Tattoo charts
Olmec Were-Jaguar Cult,Jaguar transformation,Iconic Theocracy,Maize stores,Permanent warrior class,Basalt maces,Colossal head carvings,Ballgame rituals,Charismatic,Collapse/Rebirth: Deforestation crisis,Jade cache rituals,Mesoamerican trade,<contentious>,Zero concept
Zhou Dynasty Mandate of Heaven,Celestial mandate,Sacred Feudalism,Well-field system,Standing army,Crossbow units,Bronze inscriptions,Ancestor veneration,Hereditary,Reform: Feudal adaptation under ritual monarchy,Nine Tripods cult,Jade diplomacy,<contentious>,I Ching
Hallstatt Salt Lords,Salt god cult,Resource Oligarchy,Salt mines,Feudal levies,Hillforts,Wagon track taxes,Amber trade,Hereditary,Syncretism: Alpine trade isolation strategies,Salt springs,Danube trade,<contentious>,Solar chariots
Phoenician Merchant Oligarchies,Melqart temple,Plutocratic Republic,Purple dye,Naval forces,Ship rams,Alphabet contracts,Tyre festivals,Elective,Reform: Maritime innovation through purple dye cartels,Cedar forest protection,Mediterranean trade,<contentious>,Glass recipes
Adena Moundbuilder Councils,Earthwork geometry,Ritual Theocracy,Pipestone quarries,Tribal militias,Effigy mounds,Effigy pipes,Copper cult,Consensus,Syncretism: Hopewell transition through earthworks,Burial mound astronomy,Great Lakes trade,<contentious>,Eagle pipes
Nok Terracotta Chiefdoms,Ancestral clay,Ritual Oligarchy,Iron smelting,Feudal levies,Wooden shields,Clay divination tokens,Terracotta cult,Appointment,Collapse/Rebirth: Deforestation-induced collapse,Sacred groves,Trans-Saharan trade,<contentious>,Lost-wax casting
Andean Ayllu Systems,Pachamama cult,Labor Communism,Terrace farming,Tribal militias,Slings,Quipu accounting,Mit'a labor,Rotation,Reform: Vertical ecology through labor reciprocity,Seed banks,Inka road system,<contentious>,Khipu knots
Assyrian Military Autocracy,Ashur worship,Military Despotism,Deportee labor,Standing army,Lamassu guardians,Cuneiform decrees,Imperial propaganda,Hereditary,Collapse/Rebirth: Overextension through terror governance,Botanical gardens,Silk Road garrisons,<contentious>,Library of Ashurbanipal
Urartian Hydraulic Kings,Storm god cult,Alpine Hydraulic Despotism,Canal irrigation,Standing army,Arrow volleys,Cuneiform irrigation decrees,Van lake cult,Hereditary,Crisis-Specific Innovation: Mountain cistern networks,Fruit tree grafts,Anatolian trade,<contentious>,Cuneiform hymns
Phrygian Matar Cult,Mother goddess,Gynocratic Theocracy,Textile workshops,Tribal militias,Loom weights,Loom weights,Cybele rites,Appointment,Collapse/Rebirth: Lydian conquest vulnerability,Beehive stewardship,Gordion trade,<contentious>,Drum rituals
Etruscan Haruspex Diviners,Liver divination,Divinatory Autocracy,Bronze workshops,Feudal levies,Bronze liver models,Bronze liver models,Augury colleges,Appointment,Syncretism: Roman assimilation via liver divination,Sacred springs,Amber routes,<contentious>,Templum grids
Sabaean Dam Council,Moon god cult,Hydro-Theocracy,Spice stores,Standing army,Marib dam,Inscription laws,Incense trade,Hereditary,Crisis-Specific Innovation: Desert hydraulics at Marib Dam,Qanat systems,Frankincense routes,<contentious>,Astral navigation
Kingdom of Kush,Amun syncretism,Sacred Monarchy,Gold mines,Standing army,Pyramid garrisons,Pyramid inscriptions,Kandake queens,Matrilineal,Reform: Napatan revival blending Egyptian/African traditions,Meroitic script,Nile trade,<contentious>,Iron smelting
Scythian Kurgan Diarchy,Animal style art,Steppe Dual Monarchy,Horse herds,Temporary war parties,Gold plaques,Gold plaques,Kurgan burials,Elective,Syncretism: Steppe dual kingship under Persian pressure,Burial mounds,Silk Road,<contentious>,Tattoo codes
